Datetime,Seismic_event,X,Y,Z,Energy,Cluster
2019-02-01 03:40:09,13,29856,40224,341,1050.0,0
2019-02-01 03:45:18,0,31656,39579,424,1240.0,1
2019-02-01 04:23:06,0,30489,40293,412,125000.0,0
2019-02-01 04:37:39,0,31566,39405,343,2470.0,1
2019-02-01 04:38:28,13,29868,40228,369,2230.0,0
2019-02-01 05:13:29,0,30051,40153,346,472.0,0
2019-02-01 05:53:57,0,31549,39407,357,1430.0,1
2019-02-01 05:54:00,1,31599,39443,302,28100.0,1
2019-02-01 05:54:05,0,31634,39486,359,929.0,1
2019-02-01 05:54:10,0,31536,39353,370,42700.0,1
2019-02-01 05:54:21,0,31542,39396,375,1240.0,1
2019-02-01 05:54:27,0,31583,39398,389,724.0,1
2019-02-01 05:55:01,0,31470,39371,340,3870.0,1
2019-02-01 05:59:47,0,31550,39315,380,5850.0,1
2019-02-01 06:00:51,13,29878,40219,336,2220.0,0
2019-02-01 06:08:21,0,31649,39472,365,17900.0,1
2019-02-01 06:08:35,0,31629,39441,372,2520.0,1
2019-02-01 06:11:14,0,31603,39374,277,562.0,1
2019-02-01 06:12:35,0,30243,40345,476,3390.0,0
2019-02-01 06:30:17,0,31633,39275,401,1540.0,1
2019-02-01 06:40:23,13,29864,40222,337,1220.0,0
2019-02-01 06:50:36,13,31381,38990,280,17800.0,1
2019-02-01 07:04:27,10,29912,40328,288,4060000.0,0
2019-02-01 07:04:46,13,30004,40207,336,60200.0,0
2019-02-01 07:05:10,10,31764,39144,142,874000.0,1
2019-02-01 07:05:12,8,30253,40287,286,11100000.0,0
2019-02-01 07:05:21,13,31361,39239,212,198000.0,1
2019-02-01 07:06:41,13,30436,40195,243,29200.0,0
2019-02-01 07:07:02,8,29855,40126,371,7140000.0,0
2019-02-01 07:08:01,10,31692,39107,204,1120000.0,1
2019-02-01 07:09:26,10,31511,39290,165,2870000.0,1
2019-02-01 07:09:48,13,31651,39273,222,39000.0,1
2019-02-01 07:11:32,13,31560,39357,176,71000.0,1
2019-02-01 07:13:34,8,31310,39250,237,6170000.0,1
2019-02-01 07:19:03,10,31903,38968,184,1360000.0,1
2019-02-01 07:23:27,13,31801,38929,215,12100.0,1
2019-02-01 07:46:13,0,31582,39419,325,689.0,1
2019-02-01 08:02:47,0,30464,40202,200,102.0,0
2019-02-01 08:05:32,0,31760,39280,266,549.0,1
2019-02-01 08:22:07,13,31581,39503,127,4330.0,1
2019-02-01 08:26:03,1,30006,40076,407,521.0,0
2019-02-01 08:26:13,0,29996,40082,443,161.0,0
2019-02-01 08:26:52,1,29997,40087,433,141.0,0
2019-02-01 08:32:56,0,30000,40086,417,47.0,0
2019-02-01 08:52:25,0,31486,39386,261,418000.0,1
2019-02-01 09:00:08,0,32013,39106,131,41.0,1
2019-02-01 11:45:58,0,32019,39091,232,20.0,1
2019-02-01 11:56:02,13,31938,39026,118,3630.0,1
2019-02-01 11:56:33,0,31554,39370,271,1270.0,1
2019-02-01 12:05:38,0,31524,39465,296,2810.0,1
